Feed water,pH,Temp,NH4,K,Na,Mg,Ca,Sr,Ba,Co3,HCo3,No3,F,Cl,Br,So4,Po4,SiO2,Vessel,Elements,Recovery(%),Active Area(m2),Energy(kWh/m3),Concentrate flow(m3/h),permeate flow(m3/h),Pressure(bar),NH4,K,Na,Mg,Ca,Sr,Ba,Co3,HCo3,No3,F,Cl,Br,So4,Po4,SiO2,TDS,,
100,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.33,54.9,45,56,0,2.36,56.02,1.58,0.49,0,0,0,0,0,0,92.8,0.48,1.32,0,0.04,35024,,
99,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.32,54.4,44.6,55.9,0,2.38,56.57,1.59,0.49,0,0,0,0,0,0,93.71,0.49,1.33,0,0.04,35024,,
98,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.31,53.8,44.1,55.7,0,2.4,57.17,1.61,0.5,0,0,0,0,0,0,94.64,0.49,1.35,0,0.04,35024,,
97,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.29,53.3,43.7,55.5,0,2.43,57.71,1.62,0.5,0,0,0,0,0,0,95.59,0.5,1.36,0,0.04,35024,,
96,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.28,52.7,43.2,55.3,0,2.45,58.29,1.64,0.51,0,0,0,0,0,0,96.56,0.5,1.37,0,0.04,35024,,
95,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.27,52.2,42.8,55.2,0,2.48,58.89,1.66,0.51,0,0,0,0,0,0,97.55,0.51,1.39,0,0.04,35024,,
94,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.28,52.7,43.2,53.3,0,2.45,58.29,1.64,0.51,0,0,0,0,0,0,96.56,0.5,1.37,0,0.04,35024,,
93,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.24,51.1,41.9,54.8,0,2.53,60.13,1.69,0.52,0,0,0,0,0,0,99.6,0.52,1.41,0,0.04,35024,,
92,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.23,50.5,41.4,54.7,0,2.56,60.77,1.71,0.53,0,0,0,0,0,0,100.7,0.52,1.43,0,0.04,35024,,
91,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.22,50,41,54.5,0,2.59,61.42,1.73,0.53,0,0,0,0,0,0,101.7,0.53,1.44,0,0.05,35024,,
90,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.2,49.4,40.5,54.4,0,2.62,62.09,1.74,0.54,0,0,0,0,0,0,102.8,0.53,1.46,0,0.05,35024,,
